film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0090,Terminator 2 : le Jugement Dernier,terminator-2-le-jugement-dernier,patrimoine_retro,6,2,L137|L138,https://fr.web.img6.acsta.net/img/b6/c9/b6c9f7af0a6bef0b88c1e1482ff2dcef.jpg,auto (6 séances / 2 salles)
F0091,Wake in fright (Réveil dans la terreur),wake-in-fright-reveil-dans-la-terreur,patrimoine_retro,6,1,L127,https://abc-toulouse.fr/images/affiches/w/Wake%20in%20Fright%20aff%20site.jpg,auto (6 séances / 1 salles)
F0092,Akira,akira,animation_jeune_public,5,2,L137|L138,https://fr.web.img4.acsta.net/img/15/bf/15bf220d29691722e98298080cccdfb7.jpg,auto (5 séances / 2 salles)
F0093,Charlie et les kangourous,charlie-et-les-kangourous,animation_jeune_public,5,4,L139|L144|L145|L148,https://fr.web.img2.acsta.net/img/9f/4a/9f4af8841cf8a30055df79e676984b5c.jpg,auto (5 séances / 4 salles)
F0094,Comète,comete,fiction,5,2,L128|L143,https://fr.web.img6.acsta.net/img/5f/9d/5f9da5d2b22d285ed5450284f5bbc668.jpg,auto (5 séances / 2 salles)
F0095,Fast & Furious,fast-furious,patrimoine_retro,5,3,L139|L140|L142,https://fr.web.img5.acsta.net/medias/nmedia/00/02/30/50/69215495_af.jpg,auto (5 séances / 3 salles)
F0096,Harry Potter et les reliques de la mort - partie 1,harry-potter-et-les-reliques-de-la-mort-partie-1,patrimoine_retro,5,3,L137|L138|L142,https://fr.web.img5.acsta.net/medias/nmedia/18/69/69/81/19590744.jpg,auto (5 séances / 3 salles)
F0097,Harry Potter et les reliques de la mort - partie 2,harry-potter-et-les-reliques-de-la-mort-partie-2,patrimoine_retro,5,3,L137|L138|L142,https://fr.web.img3.acsta.net/medias/nmedia/18/78/64/49/19762436.jpg,auto (5 séances / 3 salles)
F0098,Les Nouvelles aventures de Gros-Pois et Petit-point,les-nouvelles-aventures-de-gros-pois-et-petit-point,animation_jeune_public,5,4,L126|L141|L143|L147,https://fr.web.img6.acsta.net/pictures/15/01/06/14/38/393337.jpg,auto (5 séances / 4 salles)
F0099,Patouille et Momo les contes de la forêt,patouille-et-momo-les-contes-de-la-foret,festival_avp,5,2,L139|L141,https://fr.web.img4.acsta.net/img/28/c6/28c61f5d85c2b5f33bb724dc9fdd20b3.jpg,auto (5 séances / 2 salles)
F0100,RRR,rrr,fiction,5,1,L128,https://fr.web.img6.acsta.net/img/c5/3a/c53a1a379f5efd5c58ae238e530e6927.jpg,auto (5 séances / 1 salles)
F0101,Top Gun: Maverick,top-gun-maverick,fiction,5,1,L140,https://fr.web.img3.acsta.net/img/e3/d5/e3d59ee245e055bf0c49d24edfc17b36.jpg,auto (5 séances / 1 salles)
F0102,Bleach - Le Film 4 : Hell Verse,bleach-le-film-4-hell-verse,animation_jeune_public,4,3,L137|L138|L139,https://fr.web.img4.acsta.net/img/03/24/0324d97da29c70065c1a72a7c66ef006.png,auto (4 séances / 3 salles)
F0103,Bleach : Fade to Black,bleach-fade-to-black,animation_jeune_public,4,3,L137|L138|L139,https://fr.web.img5.acsta.net/img/d6/a9/d6a91cbe1a97a89782616ccfdc7f38ae.png,auto (4 séances / 3 salles)
F0104,Bleach : Memories of Nobody,bleach-memories-of-nobody,animation_jeune_public,4,3,L137|L138|L139,https://fr.web.img4.acsta.net/img/cb/4d/cb4daaaee3183f71ac3f4311710b42f5.png,auto (4 séances / 3 salles)
F0105,Bleach : The DiamondDust Rebellion,bleach-the-diamonddust-rebellion,animation_jeune_public,4,3,L137|L138|L139,https://fr.web.img3.acsta.net/img/a0/fe/a0feaff83798efc2b041aa847be6475a.png,auto (4 séances / 3 salles)
F0106,Garance,garance,festival_avp,4,4,L137|L138|L141|L142,https://fr.web.img3.acsta.net/img/22/e4/22e455446c0461e270e5341d9f88f43f.jpg,auto (4 séances / 4 salles)
