artiste_id,nom,nom_normalise,genre_principal,genres_secondaires,url_photo,notes
A0129,Ilyun Bürkev,ilyun-burkev,classique_lyrique,,,auto depuis programme (1 passages)
A0130,Amareia,amareia-en-concert,chanson_variete,,,auto depuis programme (1 passages)
A0131,CHELABÔM,chelabom,funk_soul_rnb,,,auto depuis programme (1 passages)
A0132,Hortense de Beauharnais,hortense-de-beauharnais,electro_techno,,,auto depuis programme (1 passages)
A0133,Vadym Kholodenko,vadym-kholodenko,classique_lyrique,,,auto depuis programme (1 passages)
A0137,DELI ZIRZOP,deli-zirzop,musiques_monde_trad,,,auto depuis programme (1 passages)
A0139,Jodylin Gallavardin,jodylin-gallavardin,classique_lyrique,,,auto depuis programme (1 passages)
A0140,Paul Lay (carte blanche jazz),paul-lay-carte-blanche-jazz,jazz_blues,,,auto depuis programme (1 passages)
A0141,Pierre-Laurent Aimard,pierre-laurent-aimard,classique_lyrique,,,auto depuis programme (1 passages)
A0142,TABANAR,tabanar,rock_metal_punk,,,auto depuis programme (1 passages)
A0143,FEELING THE SPIRIT OF GRANT GREEN,feeling-the-spirit-of-grant-green,jazz_blues,,,auto depuis programme (1 passages)
A0144,Anna Petrova-Forster,anna-petrova-forster,classique_lyrique,,,auto depuis programme (1 passages)
A0145,Kody,kody-evolue,humour_standup,,,auto depuis programme (1 passages)
A0146,La Mòssa + Sollùna,la-mossa-solluna-festival-occitania,musiques_monde_trad,,,auto depuis programme (1 passages)
A0147,Urge,urge,rock_metal_punk,,,auto depuis programme (1 passages)
A0148,Mourir,mourir,rock_metal_punk,,,auto depuis programme (1 passages)
A0149,The Young Gods,the-young-gods,rock_metal_punk,,,auto depuis programme (1 passages)
A0150,Elisabeth Pion,elisabeth-pion,classique_lyrique,,,auto depuis programme (1 passages)
A0152,Les Bonobos,les-bonobos,humour_standup,,,auto depuis programme (1 passages)
A0154,Einar Solberg,einar-solberg,rock_metal_punk,,,auto depuis programme (1 passages)
A0155,Les Clefs de Saint-Pierre,les-clefs-de-saint-pierre-cuivres-marteles,classique_lyrique,,,auto depuis programme (1 passages)
A0156,"Pianip–Pianop (Pierre Rigal, Constant Despres, Brice Mvie)",pianip-pianop-pierre-rigal-constant-despres-brice-mvie,danse,,,auto depuis programme (1 passages)
A0157,Aéro malgré lui !,aero-malgre-lui,humour_standup,,,auto depuis programme (1 passages)
A0158,Valentin POMMERAY TRIO,valentin-pommeray-trio,jazz_blues,,,auto depuis programme (1 passages)
A0160,Bernard Sellam And The Boyz From The Hood,bernard-sellam-and-the-boyz-from-the-hood,funk_soul_rnb,,,auto depuis programme (1 passages)
A0161,Labess,labess,musique_autre,,,auto depuis programme (1 passages)
A0162,Tiwiza,tiwiza,musique_autre,,,auto depuis programme (1 passages)
A0163,Gabrielle Giraud,gabrielle-giraud-au-naturel,humour_standup,,,auto depuis programme (1 passages)
A0164,Lisa Perrio,lisa-perrio-c-est-complique-je-t-expliquerai,humour_standup,,,auto depuis programme (1 passages)
A0165,Gabriel Delmas invite Jakob Manz + JAM,gabriel-delmas-invite-jakob-manz-jam,jazz_blues,,,auto depuis programme (1 passages)
A0166,Potochkine,potochkine,electro_techno,,,auto depuis programme (1 passages)
A0167,Light Asylum,light-asylum,electro_techno,,,auto depuis programme (1 passages)
A0168,Jérémy Rollando,jeremy-rollando,jazz_blues,,,auto depuis programme (1 passages)
A0169,Zinée,zinee,hiphop_rap,,,auto depuis programme (1 passages)
A0170,Etane,etane,hiphop_rap,,,auto depuis programme (1 passages)
A0174,MOWGLI + NAAMLOZE,mowgli-naamloze,rock_metal_punk,,,auto depuis programme (1 passages)
A0175,LEE BURRIDGE,lee-burridge,electro_techno,,,auto depuis programme (1 passages)
A0176,Paloma Colombe,paloma-colombe,electro_techno,,,auto depuis programme (1 passages)
A0177,La Louuve,la-louuve,electro_techno,,,auto depuis programme (1 passages)
A0178,Shahzen,shahzen,electro_techno,,,auto depuis programme (1 passages)
A0179,Forever Nu,forever-nu,rock_metal_punk,,,auto depuis programme (1 passages)
A0180,Kevin Levy : Cocu,kevin-levy-cocu,humour_standup,,,auto depuis programme (1 passages)
A0181,Seven Spires,seven-spires,rock_metal_punk,,,auto depuis programme (1 passages)
A0182,Tulip,tulip,rock_metal_punk,,,auto depuis programme (1 passages)
A0183,Xandria,xandria,rock_metal_punk,,,auto depuis programme (1 passages)
