entity_id,kind,date,ville,lieu_nom,lieu_id,source_url,scope
F0018,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13474,toulouse
F0026,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13696,toulouse
F0033,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13754,toulouse
F0037,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13251,toulouse
F0068,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=14060,toulouse
F0046,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film?id=13251,toulouse
F0012,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13805,toulouse
F0055,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13957,toulouse
F0006,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=14045,toulouse
F0002,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13767,toulouse
F0027,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13806,toulouse
F0005,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13457,toulouse
F0010,film,2026-09-16,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13449,toulouse
F0048,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13955,toulouse
F0043,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13923,toulouse
F0025,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13808,toulouse
F0045,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13956,toulouse
F0023,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=11952,toulouse
F0091,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,https://toulouse.cinemas-utopia.org/film/?id=13962,toulouse
F0092,film,2026-09-16,Tournefeuille,Utopia Tournefeuille,L126,"https://relay.mvtx.us/ticketing/dbz?code_theater=P3404&gid_entity=movie.movie._.1000041095&tags=Localization.Language.French,Format.Projection.Digital&perfd=20260916&perft=16:00&code=VF",toulouse
